hub,port,CA_VOLT,CA_TIME_S,Ni/Fe,Support
1,COM7,-1.2,60,1,0
1,COM8,-1.4,60,1,0
1,COM4,-1.6,60,1,0
1,COM10,-1.8,60,1,0
1,COM5,-1.2,180,1,0
1,COM13,-1.4,180,1,0
1,COM14,-1.6,180,1,0
1,COM6,-1.8,180,1,0
2,COM15,-1.2,300,1,0
2,COM16,-1.4,300,1,0
2,COM17,-1.6,300,1,0
2,COM18,-1.8,300,1,0
2,COM19,-1.2,600,1,0
2,COM20,-1.4,600,1,0
2,COM21,-1.6,600,1,0
2,COM22,-1.8,600,1,0
1,COM23,-1.2,60,9,0.33
1,COM24,-1.4,60,9,0.33
1,COM25,-1.6,60,9,0.33
1,COM26,-1.8,60,9,0.33
1,COM27,-1.2,180,9,0.33
1,COM28,-1.4,180,9,0.33
1,COM29,-1.6,180,9,0.33
1,COM30,-1.8,180,9,0.33
2,COM31,-1.2,300,9,0.33
2,COM32,-1.4,300,9,0.33
2,COM33,-1.6,300,9,0.33
2,COM34,-1.8,300,9,0.33
2,COM35,-1.2,600,9,0.33
2,COM36,-1.4,600,9,0.33
2,COM37,-1.6,600,9,0.33
2,COM38,-1.8,600,9,0.33
