No,Ni/Fe,KNO3,potential(V),time(s),overpotential(mV),standard_deviation
1,1,0,-1.2,60,472,7
2,1,0,-1.2,180,455,8
3,1,0,-1.2,300,476,8
4,1,0,-1.2,600,465,3
5,1,0,-1.4,60,460,4
6,1,0,-1.4,180,432,4
7,1,0,-1.4,300,445,7
8,1,0,-1.4,600,471,9
9,1,0,-1.6,60,436,2
10,1,0,-1.6,180,427,1
11,1,0,-1.6,300,430,1
12,1,0,-1.6,600,442,2
13,1,0,-1.8,60,444,3
14,1,0,-1.8,180,410,3
15,1,0,-1.8,300,431,3
16,1,0,-1.8,600,421,6
17,1,0.33,-1.2,60,473,5
18,1,0.33,-1.2,180,466,9
19,1,0.33,-1.2,300,467,3
20,1,0.33,-1.2,600,423,5
21,1,0.33,-1.4,60,439,2
22,1,0.33,-1.4,180,417,1
23,1,0.33,-1.4,300,431,2
24,1,0.33,-1.4,600,424,2
25,1,0.33,-1.6,60,428,1
26,1,0.33,-1.6,180,405,3
27,1,0.33,-1.6,300,409,3
28,1,0.33,-1.6,600,402,4
29,1,0.33,-1.8,60,410,2
30,1,0.33,-1.8,180,403,3
31,1,0.33,-1.8,300,409,4
32,1,0.33,-1.8,600,422,3
33,3,0,-1.2,60,448,5
34,3,0,-1.2,180,453,5
35,3,0,-1.2,300,456,5
36,3,0,-1.2,600,412,4
37,3,0,-1.4,60,411,5
38,3,0,-1.4,180,390,6
39,3,0,-1.4,300,378,5
40,3,0,-1.4,600,397,6
41,3,0,-1.6,60,392,6
42,3,0,-1.6,180,385,3
43,3,0,-1.6,300,382,1
44,3,0,-1.6,600,390,2
45,3,0,-1.8,60,399,8
46,3,0,-1.8,180,355,4
47,3,0,-1.8,300,385,4
48,3,0,-1.8,600,431,18
49,3,0.33,-1.2,60,452,4
50,3,0.33,-1.2,180,478,4
51,3,0.33,-1.2,300,462,1
52,3,0.33,-1.2,600,386,7
53,3,0.33,-1.4,60,408,7
54,3,0.33,-1.4,180,385,6
55,3,0.33,-1.4,300,397,6
56,3,0.33,-1.4,600,375,2
57,3,0.33,-1.6,60,392,6
58,3,0.33,-1.6,180,349,2
59,3,0.33,-1.6,300,347,3
60,3,0.33,-1.6,600,338,2
61,3,0.33,-1.8,60,378,7
62,3,0.33,-1.8,180,309,10
63,3,0.33,-1.8,300,314,10
64,3,0.33,-1.8,600,340,1
65,9,0,-1.2,60,439,5
66,9,0,-1.2,180,377,5
67,9,0,-1.2,300,393,4
68,9,0,-1.2,600,368,3
69,9,0,-1.4,60,388,8
70,9,0,-1.4,180,332,3
71,9,0,-1.4,300,309,4
72,9,0,-1.4,600,334,4
73,9,0,-1.6,60,319,1
74,9,0,-1.6,180,308,3
75,9,0,-1.6,300,302,4
76,9,0,-1.6,600,307,9
77,9,0,-1.8,60,302,7
78,9,0,-1.8,180,291,10
79,9,0,-1.8,300,294,14
80,9,0,-1.8,600,299,8
81,9,0.33,-1.2,60,382,9
82,9,0.33,-1.2,180,359,3
83,9,0.33,-1.2,300,330,3
84,9,0.33,-1.2,600,316,5
85,9,0.33,-1.4,60,386,5
86,9,0.33,-1.4,180,263,16
87,9,0.33,-1.4,300,296,8
88,9,0.33,-1.4,600,285,10
89,9,0.33,-1.6,60,302,3
90,9,0.33,-1.6,180,254,21
91,9,0.33,-1.6,300,254,24
92,9,0.33,-1.6,600,255,25
93,9,0.33,-1.8,60,269,13
94,9,0.33,-1.8,180,251,25
95,9,0.33,-1.8,300,261,24
96,9,0.33,-1.8,600,266,22
